"file","source_row","field","value","problem"
"boron_isotopes_hoenisch_2009.xlsx",36,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",37,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",38,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",39,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",40,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",41,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",42,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",43,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",44,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",45,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",46,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",47,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",48,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",49,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",50,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",51,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
