"combined_row","field","source","conversion"
7,"eGCWad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BC6",
7,"N_eGCWad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BD6",
7,"d13Cp","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BE6",
7,"ed13Cp","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BF6",
7,"N_ed13Cp","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BG6",
7,"dv","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CL6",
7,"A0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BL6",
7,"eA0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BM6",
7,"N_eA0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BN6",
7,"CiCa0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BO6",
7,"eCiCa0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BP6",
7,"N_eCiCa0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BQ6",
7,"gb","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BR6",
7,"egb","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BS6",
7,"N_egb","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BT6",
7,"s1","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BU6",
7,"es1","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BV6",
7,"N_es1","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BW6",
7,"s2","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BX6",
7,"es2","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BY6",
7,"N_es2","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BZ6",
7,"s3","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CA6",
7,"es3","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CB6",
7,"N_es3","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CC6",
7,"s4","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CD6",
7,"es4","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CE6",
7,"N_es4","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CF6",
7,"s5","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CG6",
7,"es5","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CH6",
7,"N_es5","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CI6",
8,"sample","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!O7",
8,"doi","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!D7",
8,"lat","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AA7",
8,"lon","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AB7",
8,"age_mean","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!V7",
8,"age_min","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!X7",
8,"age_max","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!W7",
8,"age_notes","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!Z7",
8,"family","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!P7",
8,"genus","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!Q7",
8,"Dab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AM7",
8,"eDab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AN7",
8,"N_eDab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AO7",
8,"Dad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AP7",
8,"eDad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AQ7",
8,"N_eDad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AR7",
8,"GCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AS7",
8,"eGCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AT7",
8,"N_eGCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AU7",
8,"GCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AV7",
8,"eGCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AW7",
8,"N_eGCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AX7",
8,"GCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AY7",
8,"eGCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AZ7",
8,"N_eGCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BA7",
8,"GCWad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BB7",
8,"eGCWad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BC7",
8,"N_eGCWad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BD7",
8,"d13Cp","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BE7",
8,"ed13Cp","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BF7",
8,"N_ed13Cp","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BG7",
8,"dv","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CL7",
8,"A0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BL7",
8,"eA0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BM7",
8,"N_eA0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BN7",
8,"CiCa0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BO7",
