".file",".sheet",".row",".study","method","sample","age_mean","combined_row","included"
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",25,"reichgelt_2020","franks","38.97.90.10","22.968",48,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",26,"reichgelt_2020","franks","38.97.90.9","22.968",49,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",27,"reichgelt_2020","franks","38.97.90.8","22.968",50,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",28,"reichgelt_2020","franks","40.93.80.4","22.97",51,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",29,"reichgelt_2020","franks","40.93.80.1","22.97",52,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",30,"reichgelt_2020","franks","41.88.12.1","22.971",53,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",31,"reichgelt_2020","franks","41.88.28.4","22.971",54,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",32,"reichgelt_2020","franks","41.88.28.7","22.971",55,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",33,"reichgelt_2020","franks","41.88.28.5","22.971",56,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",34,"reichgelt_2020","franks","42.85.0.2","22.972000000000001",57,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",35,"reichgelt_2020","franks",,"22.988",58,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",36,"reichgelt_2020","franks","42.85.70.3","22.972000000000001",59,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",37,"reichgelt_2020","franks","42.85.70.4","22.972000000000001",60,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",38,"reichgelt_2020","franks","43.82.0.1","22.972999999999999",61,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",39,"reichgelt_2020","franks","56.31.20.1","22.986000000000001",62,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",40,"reichgelt_2020","franks","57.31.0.2","22.986999999999998",63,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",41,"reichgelt_2020","franks","57.31.95.3","22.986999999999998",64,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",42,"reichgelt_2020","franks","62.19.2.1","22.992000000000001",65,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",43,"reichgelt_2020","franks",,"23.018999999999998",66,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",44,"reichgelt_2020","franks","62.19.90.1","22.992000000000001",67,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",45,"reichgelt_2020","franks","63.19.95.3","22.992999999999999",68,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",46,"reichgelt_2020","franks","63.19.95.1","22.992999999999999",69,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",47,"reichgelt_2020","franks","83.48.86.2","23.012999999999998",70,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",48,"reichgelt_2020","franks","83.48.86.3","23.012999999999998",71,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",49,"reichgelt_2020","franks","84.43.18.2","23.013999999999999",72,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",50,"reichgelt_2020","franks","84.43.68.1","23.013999999999999",73,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",51,"reichgelt_2020","franks","84.43.68.4","23.013999999999999",74,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",52,"reichgelt_2020","franks","101.4.16.2","23.030999999999999",,FALSE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",53,"reichgelt_2020","franks","101.4.16.1","23.030999999999999",,FALSE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",4,"steinthorsdottir_2021","franks","P37 site (aggregate of three species)","15.78",75,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",5,"steinthorsdottir_2021","franks","P33 site (aggregate of five species)","15.78",76,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",6,"steinthorsdottir_2021","franks","P37 Bev 1","15.78",77,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",7,"steinthorsdottir_2021","franks","P37 Bev 2","15.78",78,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",8,"steinthorsdottir_2021","franks","P37 Bev 3","15.78",79,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",9,"steinthorsdottir_2021","franks","P37 Bev 4","15.78",80,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",10,"steinthorsdottir_2021","franks","P37 Bef 1","15.78",81,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",11,"steinthorsdottir_2021","franks","P37 Bef 2","15.78",82,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",12,"steinthorsdottir_2021","franks","P37 Bef 3","15.78",83,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",13,"steinthorsdottir_2021","franks","P37 Bef 4","15.78",84,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",14,"steinthorsdottir_2021","franks","P37 Que 1","15.78",85,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",15,"steinthorsdottir_2021","franks","P37 Que 2","15.78",86,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",16,"steinthorsdottir_2021","franks","P37 Que 3","15.78",87,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",17,"steinthorsdottir_2021","franks","P37 Que 4","15.78",88,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",18,"steinthorsdottir_2021","franks","P37 Que 5","15.78",89,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",19,"steinthorsdottir_2021","franks","P37 Que 6","15.78",90,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",20,"steinthorsdottir_2021","franks","P37 Que 7","15.78",91,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",21,"steinthorsdottir_2021","franks","P37 Que 8","15.78",92,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",22,"steinthorsdottir_2021","franks","P37 Que 9","15.78",93,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",23,"steinthorsdottir_2021","franks","P37 Que 10","15.78",94,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",24,"steinthorsdottir_2021","franks","P37 Que 11","15.78",95,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",25,"steinthorsdottir_2021","franks","P37 Que 12","15.78",96,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",26,"steinthorsdottir_2021","franks","P37 Que 13","15.78",97,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",27,"steinthorsdottir_2021","franks","P37 Que 14","15.78",98,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",28,"steinthorsdottir_2021","franks","P37 Que 15","15.78",99,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",29,"steinthorsdottir_2021","franks","P37 Que 16","15.78",100,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",30,"steinthorsdottir_2021","franks","P37 Que 17","15.78",101,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",31,"steinthorsdottir_2021","franks","P37 Que 18","15.78",102,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",32,"steinthorsdottir_2021","franks","P33 Bev 1","15.78",103,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",33,"steinthorsdottir_2021","franks","P33 Bev 2","15.78",104,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",34,"steinthorsdottir_2021","franks","P33 Bev 3","15.78",105,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",35,"steinthorsdottir_2021","franks","P33 Bev 4","15.78",106,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",36,"steinthorsdottir_2021","franks","P33 Bev 5","15.78",107,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",37,"steinthorsdottir_2021","franks","P33 Bev 6","15.78",108,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",38,"steinthorsdottir_2021","franks","P33 Bev 7","15.78",109,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",39,"steinthorsdottir_2021","franks","P33 Bev 8","15.78",110,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",40,"steinthorsdottir_2021","franks","P33 Bev 9","15.78",111,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",41,"steinthorsdottir_2021","franks","P33 Bef 1","15.78",112,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",42,"steinthorsdottir_2021","franks","P33 Bef 2","15.78",113,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",43,"steinthorsdottir_2021","franks","P33 Bef 3","15.78",114,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",44,"steinthorsdottir_2021","franks","P33 Bef 4","15.78",115,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",45,"steinthorsdottir_2021","franks","P33 Bef 5","15.78",116,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",46,"steinthorsdottir_2021","franks","P33 Bef 6","15.78",117,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",47,"steinthorsdottir_2021","franks","P33 Bef 7","15.78",118,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",48,"steinthorsdottir_2021","franks","P33 Laur 1","15.78",119,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",49,"steinthorsdottir_2021","franks","P33 Laur 2","15.78",120,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",50,"steinthorsdottir_2021","franks","P33 Laur 3","15.78",121,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",51,"steinthorsdottir_2021","franks","P33 Laur 4","15.78",122,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",52,"steinthorsdottir_2021","franks","P33 Laur 5","15.78",123,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",53,"steinthorsdottir_2021","franks","P33 Laur 6","15.78",124,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",54,"steinthorsdottir_2021","franks","P33 Que 1","15.78",125,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",55,"steinthorsdottir_2021","franks","P33 Que 2","15.78",126,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",56,"steinthorsdottir_2021","franks","P33 Que 3","15.78",127,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",57,"steinthorsdottir_2021","franks","P33 Que 4","15.78",128,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",58,"steinthorsdottir_2021","franks","P33 Que 5","15.78",129,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",59,"steinthorsdottir_2021","franks","P33 Que 6","15.78",130,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",60,"steinthorsdottir_2021","franks","P33 Que 7","15.78",131,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",61,"steinthorsdottir_2021","franks","P33 Que 8","15.78",132,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",62,"steinthorsdottir_2021","franks","P33 Que 9","15.78",133,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",63,"steinthorsdottir_2021","franks","P33 Ost 1","15.78",134,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",64,"steinthorsdottir_2021","franks","P33 Ost 2","15.78",135,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",65,"steinthorsdottir_2021","franks","P33 Ost 3","15.78",136,TRUE
"stomata-franks_steinthorsdottir_2021.xlsx","leaf gas-exchange_Franks",66,"steinthorsdottir_2021","franks","P33 Ost 4","15.78",137,TRUE
"stomata-franks_tesfamichael_2017.xlsx","leaf gas-exchange_Franks",4,"tesfamichael_2017","franks","Mush Valley mean","21.73",138,TRUE
"stomata-franks_tesfamichael_2017.xlsx","leaf gas-exchange_Franks",5,"tesfamichael_2017","franks","Chilga mean","27.23",,FALSE
"stomata-sd_hu_2015.xlsx","stomatal density",4,"hu_2015","sd","Quercus preguyavifolia (HST)","3.09",139,TRUE
"stomata-sd_hu_2015.xlsx","stomatal density",5,"hu_2015","sd","Quercus preguyavifolia (QFC)","3.6",140,TRUE
"stomata-sd_huang_2016.xlsx","stomatal density",4,"huang_2016","sd","Quercus heqingensis (HQHY)","3.09",141,TRUE
"stomata-sd_stults_2011.xlsx","stomatal density",2,"stults_2011","sd",,"8.49",142,TRUE
"stomata-sd_stults_2011.xlsx","stomatal density",3,"stults_2011","sd",,"3.09",143,TRUE
"stomata-si_barclay_2016.xlsx","Stomatal index",2,"barclay_2016","si","SLW991,2,3","56.722000000000001",,FALSE
"stomata-si_barclay_2016.xlsx","Stomatal index",3,"barclay_2016","si","SLW8612","56.317999999999998",,FALSE
"stomata-si_barclay_2016.xlsx","Stomatal index",4,"barclay_2016","si","SLW9434","56.231999999999999",,FALSE
"stomata-si_barclay_2016.xlsx","Stomatal index",5,"barclay_2016","si","SLW9715","56.05",,FALSE
"stomata-si_barclay_2016.xlsx","Stomatal index",6,"barclay_2016","si","SLW9812","55.69",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",4,"beerling_2009","si","DMNH 566 (Ginkgo Salad)","65.5",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",5,"beerling_2009","si","LJH 7659 site","65.400000000000006",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",6,"beerling_2009","si","LJH 7423 site","65.400000000000006",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",7,"beerling_2009","si","DMNH 2360 site","64.13",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",8,"beerling_2009","si","Basilika site","63.8",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",9,"beerling_2009","si","DMNH 2644 site","61.1",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",10,"beerling_2009","si","Burbank site","59.9",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",11,"beerling_2009","si","Joffre Bridge site","59.9",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",12,"beerling_2009","si","SLW 0025 site","58.1",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",13,"beerling_2009","si","LJH 7132 site","57.2",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",14,"beerling_2009","si","SLW 993 site","56.7",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",15,"beerling_2009","si","SLW 992 site","56.7",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",16,"beerling_2009","si","SLW 991 site","56.7",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",17,"beerling_2009","si","LJH 72141-1 site","56.6",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",18,"beerling_2009","si","SLW 9155 site","56.5",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",19,"beerling_2009","si","SLW 9411 site","56.4",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",20,"beerling_2009","si","SLW 9434 site","56.2",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",21,"beerling_2009","si","SLW 9715 site","56.1",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",22,"beerling_2009","si","SLW 9050 site","56.1",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",23,"beerling_2009","si","SLW 9936 site","56.1",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",24,"beerling_2009","si","SLW 8612 site","56.1",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",25,"beerling_2009","si",,"56",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",26,"beerling_2009","si","SLW 9812 site","55.9",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",27,"beerling_2009","si","SLW 9915 site","55.6",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",28,"beerling_2009","si","SLW LB site","54.7",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",29,"beerling_2009","si","SLW H site","54.3",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",30,"beerling_2009","si","LJH 9915 site","54.2",,FALSE
"stomata-si_beerling_2009.xlsx","stomatal index",31,"beerling_2009","si","Juliaetta site (P6)","16.5",144,TRUE
"stomata-si_beerling_2009.xlsx","stomatal index",32,"beerling_2009","si","Clarkia site (P33a)","15.78",145,TRUE
"stomata-si_beerling_2009.xlsx","stomatal index",33,"beerling_2009","si","Clarkia site (P33b)","15.78",146,TRUE
"stomata-si_beerling_2009.xlsx","stomatal index",34,"beerling_2009","si","Emerald Creek site (P37a)","15.78",147,TRUE
"stomata-si_beerling_2009.xlsx","stomatal index",35,"beerling_2009","si","GA","13.324999999999999",158,TRUE
"stomata-si_beerling_2009.xlsx","stomatal index",36,"beerling_2009","si","HB2/1,HB2/2","14.984999999999999",160,TRUE
"stomata-si_beerling_2009.xlsx","stomatal index",37,"beerling_2009","si","Literature","14.984999999999999",164,TRUE
"stomata-si_kuerschner_1996.xlsx","Stomatal index",2,"kuerschner_1996","si",,"2.165",148,TRUE
"stomata-si_kuerschner_1996.xlsx","Stomatal index",3,"kuerschner_1996","si",,"3.415",149,TRUE
"stomata-si_kuerschner_1996.xlsx","Stomatal index",4,"kuerschner_1996","si",,"3.55",150,TRUE
"stomata-si_kuerschner_1996.xlsx","Stomatal index",5,"kuerschner_1996","si",,"4.4000000000000004",151,TRUE
"stomata-si_kuerschner_1996.xlsx","Stomatal index",6,"kuerschner_1996","si",,"4.5999999999999996",152,TRUE
"stomata-si_kuerschner_1996.xlsx","Stomatal index",7,"kuerschner_1996","si",,"5.0999999999999996",153,TRUE
"stomata-si_kuerschner_1996.xlsx","Stomatal index",8,"kuerschner_1996","si",,"6.29",154,TRUE
"stomata-si_kuerschner_1996.xlsx","Stomatal index",9,"kuerschner_1996","si",,"8.1999999999999993",155,TRUE
"stomata-si_kuerschner_1996.xlsx","Stomatal index",10,"kuerschner_1996","si",,"10.5",156,TRUE
"stomata-si_kuerschner_2008.xlsx","Stomatal index",2,"kuerschner_2008","si","Taken from literatue: Uzunova KG (1995) Phytologia Balcanica 1:13-17.","10.115",157,TRUE
"stomata-si_kuerschner_2008.xlsx","Stomatal index",3,"kuerschner_2008","si","GA","13.324999999999999",158,TRUE
"stomata-si_kuerschner_2008.xlsx","Stomatal index",4,"kuerschner_2008","si","MM2,MM3,MM8","13.324999999999999",159,TRUE
"stomata-si_kuerschner_2008.xlsx","Stomatal index",5,"kuerschner_2008","si","HB2/1,HB2/2","14.984999999999999",160,TRUE
"stomata-si_kuerschner_2008.xlsx","Stomatal index",6,"kuerschner_2008","si","MY18,Taken from Literature (5)","14.984999999999999",161,TRUE
"stomata-si_kuerschner_2008.xlsx","Stomatal index",7,"kuerschner_2008","si","Kau.U/Crd","14.984999999999999",162,TRUE
"stomata-si_kuerschner_2008.xlsx","Stomatal index",8,"kuerschner_2008","si","MY26","14.984999999999999",163,TRUE
"stomata-si_kuerschner_2008.xlsx","Stomatal index",9,"kuerschner_2008","si","Literature","14.984999999999999",164,TRUE
"stomata-si_kuerschner_2008.xlsx","Stomatal index",10,"kuerschner_2008","si","HV1-25,HV1_28-1,HV11-31","16.635000000000002",165,TRUE
"stomata-si_kuerschner_2008.xlsx","Stomatal index",11,"kuerschner_2008","si","Sample 4","16.635000000000002",166,TRUE
"stomata-si_kuerschner_2008.xlsx","Stomatal index",12,"kuerschner_2008","si","HV11-31","16.635000000000002",167,TRUE
"stomata-si_kuerschner_2008.xlsx","Stomatal index",13,"kuerschner_2008","si","1993/28/32/2,1993/28/34A/1,1993/29/26B/3,KR76,Pic","17.75",168,TRUE
